threshold,accuracy,precision,recall,roc_auc,positive_rate,tp,tn,fp,fn,f1,f2,predicted_positive_rate
0.7000000000000001,0.9071481208548269,0.0546875,0.5833333333333334,0.9257899628252788,0.008843036109064112,14,2448,242,10,0.1,0.19886363636363635,0.09432571849668386
0.7100000000000001,0.9078850405305822,0.05511811023622047,0.5833333333333334,0.9257899628252788,0.008843036109064112,14,2450,240,10,0.10071942446043165,0.20000000000000004,0.09358879882092852
0.72,0.9093588798820929,0.05241935483870968,0.5416666666666666,0.9257899628252788,0.008843036109064112,13,2455,235,11,0.09558823529411765,0.188953488372093,0.09137803979366249
0.73,0.9119380987472365,0.05394190871369295,0.5416666666666666,0.9257899628252788,0.008843036109064112,13,2462,228,11,0.09811320754716982,0.19287833827893178,0.08879882092851879
0.74,0.9159911569638909,0.05263157894736842,0.5,0.9257899628252788,0.008843036109064112,12,2474,216,12,0.09523809523809525,0.18518518518518517,0.08400884303610906
0.75,0.9189388356669123,0.05045871559633028,0.4583333333333333,0.9257899628252788,0.008843036109064112,11,2483,207,13,0.09090909090909091,0.17515923566878983,0.08032424465733234
0.76,0.9211495946941783,0.05188679245283019,0.4583333333333333,0.9257899628252788,0.008843036109064112,11,2489,201,13,0.09322033898305086,0.17857142857142858,0.07811348563006633
0.77,0.9222549742078113,0.05263157894736842,0.4583333333333333,0.9257899628252788,0.008843036109064112,11,2492,198,13,0.09442060085836909,0.18032786885245902,0.07700810611643331
0.78,0.9240972733971997,0.04950495049504951,0.4166666666666667,0.9257899628252788,0.008843036109064112,10,2498,192,14,0.08849557522123895,0.16778523489932884,0.07442888725128961
0.79,0.9263080324244657,0.05102040816326531,0.4166666666666667,0.9257899628252788,0.008843036109064112,10,2504,186,14,0.09090909090909091,0.17123287671232876,0.07221812822402358
0.8,0.9270449521002211,0.05154639175257732,0.4166666666666667,0.9257899628252788,0.008843036109064112,10,2506,184,14,0.09174311926605505,0.17241379310344826,0.07148120854826824
0.81,0.9277818717759764,0.052083333333333336,0.4166666666666667,0.9257899628252788,0.008843036109064112,10,2508,182,14,0.0925925925925926,0.17361111111111113,0.0707442888725129
0.8200000000000001,0.9296241709653648,0.053475935828877004,0.4166666666666667,0.9257899628252788,0.008843036109064112,10,2513,177,14,0.0947867298578199,0.17667844522968199,0.06890198968312454
0.8300000000000001,0.9310980103168754,0.049723756906077346,0.375,0.9257899628252788,0.008843036109064112,9,2518,172,15,0.0878048780487805,0.1624548736462094,0.06669123065585851
0.8400000000000001,0.9322033898305084,0.05056179775280899,0.375,0.9257899628252788,0.008843036109064112,9,2521,169,15,0.08910891089108909,0.16423357664233573,0.0655858511422255
0.85,0.9362564480471629,0.05389221556886228,0.375,0.9257899628252788,0.008843036109064112,9,2532,158,15,0.09424083769633508,0.17110266159695817,0.061532792925571116
0.86,0.940677966101695,0.05806451612903226,0.375,0.9257899628252788,0.008843036109064112,9,2544,146,15,0.1005586592178771,0.17928286852589642,0.05711127487103906
0.87,0.9428887251289609,0.06040268456375839,0.375,0.9257899628252788,0.008843036109064112,9,2550,140,15,0.10404624277456648,0.1836734693877551,0.05490051584377303
0.88,0.9458364038319823,0.05755395683453238,0.3333333333333333,0.9257899628252788,0.008843036109064112,8,2559,131,16,0.09815950920245398,0.17021276595744678,0.05121591746499631
0.89,0.9491525423728814,0.0546875,0.2916666666666667,0.9257899628252788,0.008843036109064112,7,2569,121,17,0.09210526315789475,0.15625,0.04716285924834193
0.9,0.9509948415622698,0.056910569105691054,0.2916666666666667,0.9257899628252788,0.008843036109064112,7,2574,116,17,0.09523809523809525,0.15981735159817353,0.045320560058953574
0.91,0.952837140751658,0.059322033898305086,0.2916666666666667,0.9257899628252788,0.008843036109064112,7,2579,111,17,0.09859154929577464,0.16355140186915887,0.043478260869565216
0.92,0.9572586588061901,0.057692307692307696,0.25,0.9257899628252788,0.008843036109064112,6,2592,98,18,0.09375,0.15000000000000002,0.03831982313927782
0.93,0.9620486366985999,0.06593406593406594,0.25,0.9257899628252788,0.008843036109064112,6,2605,85,18,0.10434782608695653,0.16042780748663102,0.03352984524686809
0.9400000000000001,0.9672070744288872,0.07792207792207792,0.25,0.9257899628252788,0.008843036109064112,6,2619,71,18,0.1188118811881188,0.17341040462427748,0.028371407516580693
0.9500000000000001,0.9690493736182756,0.07142857142857142,0.20833333333333334,0.9257899628252788,0.008843036109064112,5,2625,65,19,0.10638297872340424,0.1506024096385542,0.025792188651436992
0.9600000000000001,0.9749447310243183,0.09259259259259259,0.20833333333333334,0.9257899628252788,0.008843036109064112,5,2641,49,19,0.1282051282051282,0.16666666666666666,0.01989683124539425
0.97,0.9797347089167281,0.10256410256410256,0.16666666666666666,0.9257899628252788,0.008843036109064112,4,2655,35,20,0.12698412698412698,0.14814814814814814,0.014369933677229182
0.98,0.9837877671333825,0.11538461538461539,0.125,0.9257899628252788,0.008843036109064112,3,2667,23,21,0.12000000000000001,0.12295081967213116,0.009579955784819455
0.99,0.9856300663227708,0.058823529411764705,0.041666666666666664,0.9257899628252788,0.008843036109064112,1,2674,16,23,0.048780487804878044,0.04424778761061947,0.006263817243920413
